Year,Treatment,Flow,Precipitation
1958,Deforested,"645.15","1167.5"
1959,Deforested,"1012.05","1482.6"
1960,Deforested,"825.22","1321.3"
1961,Deforested,"470.05","979.7"
1962,Deforested,"777.31","1232.2"
1963,Deforested,"773.64","1138.6"
1964,Deforested,"712.15","1175.4"
1965,Deforested,"598.85","1115.2"
1966,Deforested,"1189.34","1222.3"
1967,Deforested,"1131.85","1315.1"
1968,Deforested,"1056.54","1268.2"
1969,Deforested,"1347.61","1368.5"
1970,Deforested,"905.47","1184.1"
1971,Deforested,"800.56","1164.2"
1972,Deforested,"1005.9","1431.3"
1973,Deforested,"1585.73",1804
1974,Deforested,"998.2","1406.8"
1975,Deforested,"1086.33","1422.4"
1976,Deforested,"1142.59","1511.4"
1977,Deforested,"966.25","1382.7"
1978,Deforested,"722.04","1087.9"
1979,Deforested,"1136.17",1417
1980,Deforested,"585.22","1087.9"
1981,Deforested,"1129.09","1631.5"
1982,Deforested,"802.73","1088.2"
1983,Deforested,"917.13","1436.6"
1984,Deforested,"1000.54","1396.8"
1985,Deforested,"634.76","1128.4"
1986,Deforested,"987.99",1364
1987,Deforested,"790.47","1222.1"
1988,Deforested,"491.24","1004.2"
1958,Reference,"567.36",1161
1959,Reference,"918.23","1479.1"
1960,Reference,"752.06","1325.3"
1961,Reference,"436.25","978.9"
1962,Reference,"699.29","1230.6"
1963,Reference,"662.58","1151.7"
1964,Reference,"630.45","1175.2"
1965,Reference,"546.69","1120.6"
1966,Reference,"726.73","1223.2"
1967,Reference,"780.76","1296.8"
1968,Reference,"762.84","1285.2"
1969,Reference,"998.68","1403.5"
1970,Reference,"697.53","1201.5"
1971,Reference,"676.19","1173.4"
1972,Reference,"885.91",1424
1973,Reference,"1396.43","1792.8"
1974,Reference,"890.45","1408.9"
1975,Reference,"939.52","1448.6"
1976,Reference,"1022.06",1516
1977,Reference,"843.75","1388.2"
1978,Reference,"613.79","1085.7"
1979,Reference,"1036.93","1432.7"
1980,Reference,"548.28","1101.1"
1981,Reference,"1093.91","1664.9"
1982,Reference,"756.12","1114.4"
1983,Reference,"889.35","1451.8"
1984,Reference,"970.65","1403.5"
1985,Reference,"627.84","1137.2"
1986,Reference,"960.94","1372.3"
1987,Reference,"797.09","1234.6"
1988,Reference,"502.11","1010.9"
